task_id,experiment_layer,protocol_version,suite,scenario,comparison_group,comparison_method,algorithm,repeat,seed,search_budget_id,objective_semantics_version,instance_count,feasible_instances,feasible_rate,mean_candidate_count,mean_evaluations,mean_constraint_rejection_rate,mean_nonconvergence_rate,mean_archive_size,mean_hypervolume,avg_estimated_delay_ms,avg_operational_stability_score,avg_total_energy,search_runtime_ms
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r13:s20260732,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,13,20260732,p12_g4_a64,stability_delay_energy_v4,30,20,0.6666666666666666,4.3,44.36666666666667,0.5405917078232246,0.0,4.3,0.29554935802693955,559.2095469569434,0.8601879437778095,5595.058930995701,1552.5710000656545
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r14:s20260733,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,14,20260733,p12_g4_a64,stability_delay_energy_v4,30,22,0.7333333333333333,4.0,44.5,0.586493256715013,0.0,4.0,0.28860717006373166,644.7655513200523,0.8539023228875083,6084.854366673395,1557.2291251737624
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r15:s20260734,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,15,20260734,p12_g4_a64,stability_delay_energy_v4,30,17,0.5666666666666667,3.6,44.1,0.6462883849825332,0.0,3.6,0.25525045225576587,608.7508168714616,0.8498190682493687,5780.990451734919,1499.6075843228027
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r16:s20260735,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,16,20260735,p12_g4_a64,stability_delay_energy_v4,30,25,0.8333333333333334,3.6666666666666665,44.96666666666667,0.5927712757522151,0.0,3.6666666666666665,0.2760699187799705,718.4118128836543,0.8375137090618624,7512.7039969386,1598.0115018319339
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r17:s20260736,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,17,20260736,p12_g4_a64,stability_delay_energy_v4,30,25,0.8333333333333334,5.033333333333333,45.06666666666667,0.4875426713772605,0.0,5.033333333333333,0.3447772858652434,611.2703724750803,0.8498881900811578,5970.666741661599,1548.3259167522192
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r18:s20260737,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,18,20260737,p12_g4_a64,stability_delay_energy_v4,30,26,0.8666666666666667,5.033333333333333,45.0,0.44145290285015404,0.0,5.033333333333333,0.36180847771534824,659.5667067185424,0.859819004789713,7364.485929289813,1665.4490838991478
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r19:s20260738,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,19,20260738,p12_g4_a64,stability_delay_energy_v4,30,23,0.7666666666666667,4.0,44.06666666666667,0.5654958896727355,0.0,4.0,0.3087407979751896,614.7557862319202,0.8637334419995796,5626.0246920796935,1559.1732943430543
search_quality:isolated_snapshot_v1:search_quality:211e84e173c8b908:no_dag_operators:r0:s20260719,search_quality,isolated_snapshot_v1,search_quality,no_dag_medium,search_quality,no_dag_medium,no_dag_operators,0,20260719,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,2.1333333333333333,28.633333333333333,0.7236639967812247,0.0,2.1333333333333333,0.23703212827003547,686.8867385466825,0.8696376295010977,9590.03414078184,2368.9807060873136
search_quality:isolated_snapshot_v1:search_quality:211e84e173c8b908:no_dag_operators:r1:s20260720,search_quality,isolated_snapshot_v1,search_quality,no_dag_medium,search_quality,no_dag_medium,no_dag_operators,1,20260720,p12_g4_a64,stability_delay_energy_v4,30,24,0.8,2.6,28.433333333333334,0.6901117930510691,0.0,2.6,0.3020393400825434,600.3895506092164,0.8788931603821194,10478.892228002072,2220.404249848798
search_quality:isolated_snapshot_v1:search_quality:211e84e173c8b908:no_dag_operators:r2:s20260721,search_quality,isolated_snapshot_v1,search_quality,no_dag_medium,search_quality,no_dag_medium,no_dag_operators,2,20260721,p12_g4_a64,stability_delay_energy_v4,30,25,0.8333333333333334,2.1666666666666665,29.4,0.6921101952221242,0.0,2.1666666666666665,0.2783473510548324,640.7114575632148,0.8741068330791625,11039.308134592473,2299.5762520004064
